Date,value
10/12/2011,-0.023870967
10/13/2011,-0.039677418
10/14/2011,-0.05548387
10/15/2011,-0.071290321
10/16/2011,-0.087096773
10/17/2011,-0.102903224
10/18/2011,-0.118709676
10/19/2011,-0.134516127
10/20/2011,-0.150322579
10/21/2011,-0.166129031
10/22/2011,-0.181935482
10/23/2011,-0.197741934
10/24/2011,-0.213548386
10/25/2011,-0.229354837
10/26/2011,-0.245161289
10/27/2011,-0.260967741
10/28/2011,-0.276774193
10/29/2011,-0.292580644
10/30/2011,-0.308387096
10/31/2011,-0.324193548
11/1/2011,-0.34
11/2/2011,-0.319666666
11/3/2011,-0.299333333
11/4/2011,-0.278999999
11/5/2011,-0.258666666
11/6/2011,-0.238333332
11/7/2011,-0.217999999
11/8/2011,-0.197666666
11/9/2011,-0.177333332
11/10/2011,-0.156999999
11/11/2011,-0.136666666
11/12/2011,-0.116333332
11/13/2011,-0.095999999
11/14/2011,-0.075666666
11/15/2011,-0.055333332
11/16/2011,-0.034999999
11/17/2011,-0.014666666
11/18/2011,0.005666667
11/19/2011,0.026000001
11/20/2011,0.046333334
11/21/2011,0.066666667
11/22/2011,0.087
11/23/2011,0.107333334
11/24/2011,0.127666667
11/25/2011,0.148
11/26/2011,0.168333333
11/27/2011,0.188666667
11/28/2011,0.209
11/29/2011,0.229333333
11/30/2011,0.249666667
12/1/2011,0.27
12/2/2011,0.271612903
12/3/2011,0.273225806
12/4/2011,0.274838709
12/5/2011,0.276451612
12/6/2011,0.278064514
12/7/2011,0.279677417
12/8/2011,0.28129032
12/9/2011,0.282903223
12/10/2011,0.284516126
12/11/2011,0.28612903
12/12/2011,0.287741933
12/13/2011,0.289354836
12/14/2011,0.290967739
12/15/2011,0.292580642
12/16/2011,0.294193545
12/17/2011,0.295806448
12/18/2011,0.297419352
12/19/2011,0.299032255
12/20/2011,0.300645158
12/21/2011,0.302258062
12/22/2011,0.303870965
12/23/2011,0.305483868
12/24/2011,0.307096772
12/25/2011,0.308709675
12/26/2011,0.310322579
12/27/2011,0.311935482
12/28/2011,0.313548386
12/29/2011,0.315161289
12/30/2011,0.316774193
12/31/2011,0.318387096
1/1/2012,0.32
1/2/2012,0.308709677
1/3/2012,0.297419354
1/4/2012,0.286129032
1/5/2012,0.274838709
1/6/2012,0.263548386
1/7/2012,0.252258063
1/8/2012,0.240967741
1/9/2012,0.229677418
1/10/2012,0.218387095
1/11/2012,0.207096773
1/12/2012,0.19580645
1/13/2012,0.184516128
1/14/2012,0.173225805
1/15/2012,0.161935482
1/16/2012,0.15064516
1/17/2012,0.139354837
1/18/2012,0.128064515
1/19/2012,0.116774192
1/20/2012,0.10548387
1/21/2012,0.094193547
1/22/2012,0.082903225
1/23/2012,0.071612902
1/24/2012,0.06032258
1/25/2012,0.049032257
1/26/2012,0.037741935
1/27/2012,0.026451612
1/28/2012,0.01516129
1/29/2012,0.003870967
1/30/2012,-0.007419355
1/31/2012,-0.018709678
2/1/2012,-0.03
2/2/2012,-0.042068965
2/3/2012,-0.054137931
2/4/2012,-0.066206896
2/5/2012,-0.078275861
2/6/2012,-0.090344826
2/7/2012,-0.102413792
2/8/2012,-0.114482757
2/9/2012,-0.126551722
2/10/2012,-0.138620688
2/11/2012,-0.150689653
2/12/2012,-0.162758618
2/13/2012,-0.174827584
2/14/2012,-0.186896549
2/15/2012,-0.198965515
2/16/2012,-0.21103448
2/17/2012,-0.223103446
2/18/2012,-0.235172411
2/19/2012,-0.247241377
2/20/2012,-0.259310342
2/21/2012,-0.271379308
2/22/2012,-0.283448274
2/23/2012,-0.295517239
2/24/2012,-0.307586205
2/25/2012,-0.319655171
2/26/2012,-0.331724137
2/27/2012,-0.343793102
2/28/2012,-0.355862068
2/29/2012,-0.367931034
3/1/2012,-0.38
3/2/2012,-0.365483871
3/3/2012,-0.350967741
3/4/2012,-0.336451612
3/5/2012,-0.321935483
3/6/2012,-0.307419353
3/7/2012,-0.292903224
3/8/2012,-0.278387095
3/9/2012,-0.263870966
3/10/2012,-0.249354837
3/11/2012,-0.234838707
3/12/2012,-0.220322578
3/13/2012,-0.205806449
3/14/2012,-0.19129032
3/15/2012,-0.176774191
3/16/2012,-0.162258062
3/17/2012,-0.147741933
3/18/2012,-0.133225804
3/19/2012,-0.118709675
3/20/2012,-0.104193546
3/21/2012,-0.089677418
3/22/2012,-0.075161289
3/23/2012,-0.06064516
3/24/2012,-0.046129031
3/25/2012,-0.031612902
3/26/2012,-0.017096773
3/27/2012,-0.002580644
3/28/2012,0.011935485
3/29/2012,0.026451613
3/30/2012,0.040967742
3/31/2012,0.055483871
4/1/2012,0.07
4/2/2012,0.061
4/3/2012,0.052
4/4/2012,0.043
4/5/2012,0.034
4/6/2012,0.025
4/7/2012,0.016000001
4/8/2012,0.007000001
4/9/2012,-0.001999999
4/10/2012,-0.010999999
4/11/2012,-0.019999999
4/12/2012,-0.028999999
4/13/2012,-0.037999999
4/14/2012,-0.046999999
4/15/2012,-0.055999999
4/16/2012,-0.064999999
4/17/2012,-0.073999999
4/18/2012,-0.082999999
4/19/2012,-0.091999999
4/20/2012,-0.100999999
4/21/2012,-0.109999999
4/22/2012,-0.118999999
4/23/2012,-0.127999999
4/24/2012,-0.136999999
4/25/2012,-0.145999999
4/26/2012,-0.154999999
4/27/2012,-0.163999999
4/28/2012,-0.172999999
4/29/2012,-0.182
4/30/2012,-0.191
5/1/2012,-0.2
5/2/2012,-0.204193548
5/3/2012,-0.208387096
5/4/2012,-0.212580644
5/5/2012,-0.216774192
5/6/2012,-0.22096774
5/7/2012,-0.225161288
5/8/2012,-0.229354836
5/9/2012,-0.233548384
5/10/2012,-0.237741933
5/11/2012,-0.241935481
5/12/2012,-0.246129029
5/13/2012,-0.250322577
5/14/2012,-0.254516126
5/15/2012,-0.258709674
5/16/2012,-0.262903222
5/17/2012,-0.267096771
5/18/2012,-0.271290319
5/19/2012,-0.275483867
5/20/2012,-0.279677416
5/21/2012,-0.283870964
5/22/2012,-0.288064513
5/23/2012,-0.292258061
5/24/2012,-0.29645161
5/25/2012,-0.300645159
5/26/2012,-0.304838707
5/27/2012,-0.309032256
5/28/2012,-0.313225805
5/29/2012,-0.317419354
5/30/2012,-0.321612902
5/31/2012,-0.325806451
6/1/2012,-0.33
6/2/2012,-0.328
6/3/2012,-0.325999999
6/4/2012,-0.323999999
6/5/2012,-0.321999998
6/6/2012,-0.319999998
6/7/2012,-0.317999998
6/8/2012,-0.315999997
6/9/2012,-0.313999997
6/10/2012,-0.311999997
6/11/2012,-0.309999997
6/12/2012,-0.307999996
6/13/2012,-0.305999996
6/14/2012,-0.303999996
6/15/2012,-0.301999996
6/16/2012,-0.299999996
6/17/2012,-0.297999996
6/18/2012,-0.295999996
6/19/2012,-0.293999996
6/20/2012,-0.291999997
6/21/2012,-0.289999997
6/22/2012,-0.287999997
6/23/2012,-0.285999997
6/24/2012,-0.283999997
6/25/2012,-0.281999998
6/26/2012,-0.279999998
6/27/2012,-0.277999998
6/28/2012,-0.275999999
6/29/2012,-0.273999999
6/30/2012,-0.272
7/1/2012,-0.27
7/2/2012,-0.276129032
7/3/2012,-0.282258063
7/4/2012,-0.288387095
7/5/2012,-0.294516127
7/6/2012,-0.300645159
7/7/2012,-0.306774191
7/8/2012,-0.312903223
7/9/2012,-0.319032255
7/10/2012,-0.325161287
7/11/2012,-0.331290319
7/12/2012,-0.337419351
7/13/2012,-0.343548383
7/14/2012,-0.349677415
7/15/2012,-0.355806447
7/16/2012,-0.361935479
7/17/2012,-0.368064511
7/18/2012,-0.374193544
7/19/2012,-0.380322576
7/20/2012,-0.386451608
7/21/2012,-0.392580641
7/22/2012,-0.398709673
7/23/2012,-0.404838706
7/24/2012,-0.410967738
7/25/2012,-0.417096771
7/26/2012,-0.423225803
7/27/2012,-0.429354836
7/28/2012,-0.435483869
7/29/2012,-0.441612901
7/30/2012,-0.447741934
7/31/2012,-0.453870967
8/1/2012,-0.46
8/2/2012,-0.448387096
8/3/2012,-0.436774192
8/4/2012,-0.425161289
8/5/2012,-0.413548385
8/6/2012,-0.401935482
8/7/2012,-0.390322578
8/8/2012,-0.378709675
8/9/2012,-0.367096771
8/10/2012,-0.355483868
8/11/2012,-0.343870964
8/12/2012,-0.332258061
8/13/2012,-0.320645158
8/14/2012,-0.309032254
8/15/2012,-0.297419351
8/16/2012,-0.285806448
8/17/2012,-0.274193545
8/18/2012,-0.262580641
8/19/2012,-0.250967738
8/20/2012,-0.239354835
8/21/2012,-0.227741932
8/22/2012,-0.216129029
8/23/2012,-0.204516126
8/24/2012,-0.192903223
8/25/2012,-0.18129032
8/26/2012,-0.169677417
8/27/2012,-0.158064514
8/28/2012,-0.146451611
