Date,TCU
8/1/2011,76.5299
8/2/2011,76.52447741
8/3/2011,76.51905483
8/4/2011,76.51363225
8/5/2011,76.50820966
8/6/2011,76.50278708
8/7/2011,76.49736449
8/8/2011,76.49194191
8/9/2011,76.48651933
8/10/2011,76.48109674
8/11/2011,76.47567416
8/12/2011,76.47025158
8/13/2011,76.464829
8/14/2011,76.45940642
8/15/2011,76.45398384
8/16/2011,76.44856125
8/17/2011,76.44313867
8/18/2011,76.43771609
8/19/2011,76.43229351
8/20/2011,76.42687093
8/21/2011,76.42144835
8/22/2011,76.41602578
8/23/2011,76.4106032
8/24/2011,76.40518062
8/25/2011,76.39975804
8/26/2011,76.39433546
8/27/2011,76.38891288
8/28/2011,76.38349031
8/29/2011,76.37806773
8/30/2011,76.37264515
8/31/2011,76.36722258
9/1/2011,76.3618
9/2/2011,76.37402333
9/3/2011,76.38624666
9/4/2011,76.39846999
9/5/2011,76.41069332
9/6/2011,76.42291665
9/7/2011,76.43513998
9/8/2011,76.44736331
9/9/2011,76.45958664
9/10/2011,76.47180997
9/11/2011,76.4840333
9/12/2011,76.49625663
9/13/2011,76.50847997
9/14/2011,76.5207033
9/15/2011,76.53292663
9/16/2011,76.54514997
9/17/2011,76.5573733
9/18/2011,76.56959663
9/19/2011,76.58181997
9/20/2011,76.5940433
9/21/2011,76.60626664
9/22/2011,76.61848997
9/23/2011,76.63071331
9/24/2011,76.64293664
9/25/2011,76.65515998
9/26/2011,76.66738331
9/27/2011,76.67960665
9/28/2011,76.69182999
9/29/2011,76.70405332
9/30/2011,76.71627666
10/1/2011,76.7285
10/2/2011,76.72544193
10/3/2011,76.72238386
10/4/2011,76.71932579
10/5/2011,76.71626772
10/6/2011,76.71320966
10/7/2011,76.71015159
10/8/2011,76.70709352
10/9/2011,76.70403545
10/10/2011,76.70097739
10/11/2011,76.69791932
10/12/2011,76.69486125
10/13/2011,76.69180319
10/14/2011,76.68874512
10/15/2011,76.68568706
10/16/2011,76.68262899
10/17/2011,76.67957093
10/18/2011,76.67651286
10/19/2011,76.6734548
10/20/2011,76.67039674
10/21/2011,76.66733867
10/22/2011,76.66428061
10/23/2011,76.66122255
10/24/2011,76.65816449
10/25/2011,76.65510642
10/26/2011,76.65204836
10/27/2011,76.6489903
10/28/2011,76.64593224
10/29/2011,76.64287418
10/30/2011,76.63981612
10/31/2011,76.63675806
11/1/2011,76.6337
11/2/2011,76.64188666
11/3/2011,76.65007332
11/4/2011,76.65825999
11/5/2011,76.66644665
11/6/2011,76.67463331
11/7/2011,76.68281998
11/8/2011,76.69100664
11/9/2011,76.6991933
11/10/2011,76.70737997
11/11/2011,76.71556663
11/12/2011,76.7237533
11/13/2011,76.73193996
11/14/2011,76.74012663
11/15/2011,76.7483133
11/16/2011,76.75649996
11/17/2011,76.76468663
11/18/2011,76.7728733
11/19/2011,76.78105996
11/20/2011,76.78924663
11/21/2011,76.7974333
11/22/2011,76.80561997
11/23/2011,76.81380664
11/24/2011,76.82199331
11/25/2011,76.83017998
11/26/2011,76.83836665
11/27/2011,76.84655332
11/28/2011,76.85473999
11/29/2011,76.86292666
11/30/2011,76.87111333
12/1/2011,76.8793
12/2/2011,76.88956451
12/3/2011,76.89982902
12/4/2011,76.91009353
12/5/2011,76.92035805
12/6/2011,76.93062256
12/7/2011,76.94088707
12/8/2011,76.95115158
12/9/2011,76.9614161
12/10/2011,76.97168061
12/11/2011,76.98194512
12/12/2011,76.99220964
12/13/2011,77.00247415
12/14/2011,77.01273867
12/15/2011,77.02300318
12/16/2011,77.0332677
12/17/2011,77.04353221
12/18/2011,77.05379673
12/19/2011,77.06406125
12/20/2011,77.07432577
12/21/2011,77.08459028
12/22/2011,77.0948548
12/23/2011,77.10511932
12/24/2011,77.11538384
12/25/2011,77.12564836
12/26/2011,77.13591288
12/27/2011,77.1461774
12/28/2011,77.15644192
12/29/2011,77.16670644
12/30/2011,77.17697096
12/31/2011,77.18723548
1/1/2012,77.1975
1/2/2012,77.19999999
1/3/2012,77.20249999
1/4/2012,77.20499998
1/5/2012,77.20749998
1/6/2012,77.20999998
1/7/2012,77.21249997
1/8/2012,77.21499997
1/9/2012,77.21749997
1/10/2012,77.21999996
1/11/2012,77.22249996
1/12/2012,77.22499996
1/13/2012,77.22749996
1/14/2012,77.22999996
1/15/2012,77.23249995
1/16/2012,77.23499995
1/17/2012,77.23749995
1/18/2012,77.23999995
1/19/2012,77.24249996
1/20/2012,77.24499996
1/21/2012,77.24749996
1/22/2012,77.24999996
1/23/2012,77.25249996
1/24/2012,77.25499997
1/25/2012,77.25749997
1/26/2012,77.25999997
1/27/2012,77.26249998
1/28/2012,77.26499998
1/29/2012,77.26749998
1/30/2012,77.26999999
1/31/2012,77.27249999
2/1/2012,77.275
2/2/2012,77.25696551
2/3/2012,77.23893102
2/4/2012,77.22089654
2/5/2012,77.20286205
2/6/2012,77.18482756
2/7/2012,77.16679308
2/8/2012,77.14875859
2/9/2012,77.13072411
2/10/2012,77.11268962
2/11/2012,77.09465514
2/12/2012,77.07662065
2/13/2012,77.05858617
2/14/2012,77.04055169
2/15/2012,77.0225172
2/16/2012,77.00448272
2/17/2012,76.98644824
2/18/2012,76.96841376
2/19/2012,76.95037928
2/20/2012,76.93234479
2/21/2012,76.91431031
2/22/2012,76.89627583
2/23/2012,76.87824135
2/24/2012,76.86020687
2/25/2012,76.84217239
2/26/2012,76.82413791
2/27/2012,76.80610343
2/28/2012,76.78806896
2/29/2012,76.77003448
3/1/2012,76.752
3/2/2012,76.76646451
3/3/2012,76.78092902
3/4/2012,76.79539353
3/5/2012,76.80985805
3/6/2012,76.82432256
3/7/2012,76.83878707
3/8/2012,76.85325158
3/9/2012,76.8677161
3/10/2012,76.88218061
3/11/2012,76.89664512
3/12/2012,76.91110964
3/13/2012,76.92557415
3/14/2012,76.94003867
3/15/2012,76.95450318
3/16/2012,76.9689677
3/17/2012,76.98343222
3/18/2012,76.99789673
3/19/2012,77.01236125
3/20/2012,77.02682577
3/21/2012,77.04129028
3/22/2012,77.0557548
3/23/2012,77.07021932
