"","time","value"
"1974",2015-05-28,11999.9290319286
"1975",2015-05-29,12001.3967739366
"1976",2015-05-30,12002.864515956
"1977",2015-05-31,12004.3322579765
"1978",2015-06-01,12005.800000006
"1979",2015-06-02,12007.5533331964
"1980",2015-06-03,12009.3066663993
"1981",2015-06-04,12011.0599996058
"1982",2015-06-05,12012.8133328198
"1983",2015-06-06,12014.5666660476
"1984",2015-06-07,12016.3199992861
"1985",2015-06-08,12018.0733325196
"1986",2015-06-09,12019.8266657797
"1987",2015-06-10,12021.5799990368
"1988",2015-06-11,12023.3333323221
"1989",2015-06-12,12025.0866655999
"1990",2015-06-13,12026.8399988932
"1991",2015-06-14,12028.5933321931
"1992",2015-06-15,12030.3466655034
"1993",2015-06-16,12032.0999988201
"1994",2015-06-17,12033.8533321483
"1995",2015-06-18,12035.6066654939
"1996",2015-06-19,12037.3599988471
"1997",2015-06-20,12039.1133322168
"1998",2015-06-21,12040.8666655881
"1999",2015-06-22,12042.6199989749
"2000",2015-06-23,12044.373332371
"2001",2015-06-24,12046.1266657844
"2002",2015-06-25,12047.8799992134
