Date,XOI
2/23/2017,"1,208.32"
2/22/2017,"1,200.78"
2/21/2017,"1,218.52"
2/17/2017,"1,204.84"
2/16/2017,"1,211.04"
2/15/2017,"1,224.31"
2/14/2017,"1,229.83"
2/13/2017,"1,229.08"
2/10/2017,"1,233.07"
2/9/2017,"1,221.72"
2/8/2017,"1,210.50"
2/7/2017,"1,207.17"
2/6/2017,"1,226.39"
2/3/2017,"1,238.28"
2/2/2017,"1,228.80"
2/1/2017,"1,224.87"
1/31/2017,"1,232.99"
1/30/2017,"1,233.01"
1/27/2017,"1,250.71"
1/26/2017,"1,265.56"
1/25/2017,"1,268.94"
1/24/2017,"1,264.97"
1/23/2017,"1,251.70"
1/20/2017,"1,261.20"
1/19/2017,"1,257.17"
1/18/2017,"1,266.28"
1/17/2017,"1,272.01"
1/13/2017,"1,267.15"
1/12/2017,"1,268.36"
1/11/2017,"1,274.75"
1/10/2017,"1,258.78"
1/9/2017,"1,261.81"
1/6/2017,"1,279.71"
1/5/2017,"1,285.11"
1/4/2017,"1,281.46"
1/3/2017,"1,285.84"
12/30/2016,"1,267.99"
12/29/2016,"1,272.65"
12/28/2016,"1,275.54"
12/27/2016,"1,285.13"
12/23/2016,"1,280.28"
12/22/2016,"1,281.80"
12/21/2016,"1,276.30"
12/20/2016,"1,277.64"
12/19/2016,"1,278.89"
12/16/2016,"1,284.81"
12/15/2016,"1,275.00"
12/14/2016,"1,270.02"
12/13/2016,"1,297.69"
12/12/2016,"1,271.66"
12/9/2016,"1,265.09"
12/8/2016,"1,260.43"
12/7/2016,"1,253.25"
12/6/2016,"1,239.33"
12/5/2016,"1,239.15"
12/2/2016,"1,229.33"
12/1/2016,"1,228.27"
11/30/2016,"1,219.80"
11/29/2016,"1,156.44"
11/28/2016,"1,172.72"
11/25/2016,"1,191.17"
11/23/2016,"1,196.30"
11/22/2016,"1,193.39"
11/21/2016,"1,190.30"
11/18/2016,"1,159.37"
11/17/2016,"1,156.40"
11/16/2016,"1,163.14"
11/15/2016,"1,170.70"
11/14/2016,"1,142.18"
11/11/2016,"1,140.85"
11/10/2016,"1,160.87"
11/9/2016,"1,163.91"
11/8/2016,"1,148.24"
11/7/2016,"1,150.72"
11/4/2016,"1,125.84"
11/3/2016,"1,134.64"
11/2/2016,"1,130.56"
11/1/2016,"1,143.97"
10/31/2016,"1,144.47"
10/28/2016,"1,154.82"
10/27/2016,"1,158.45"
10/26/2016,"1,158.84"
10/25/2016,"1,158.48"
10/24/2016,"1,165.75"
10/21/2016,"1,164.20"
10/20/2016,"1,163.83"
10/19/2016,"1,162.64"
10/18/2016,"1,150.97"
10/17/2016,"1,144.37"
10/14/2016,"1,150.39"
10/13/2016,"1,152.40"
10/12/2016,"1,159.75"
10/11/2016,"1,164.12"
10/10/2016,"1,181.67"
10/7/2016,"1,163.00"
10/6/2016,"1,170.10"
10/5/2016,"1,166.34"
10/4/2016,"1,146.55"
10/3/2016,"1,152.40"
9/30/2016,"1,152.50"
9/29/2016,"1,138.15"
9/28/2016,"1,137.24"
9/27/2016,"1,093.10"
9/26/2016,"1,097.21"
9/23/2016,"1,103.94"
9/22/2016,"1,121.53"
9/21/2016,"1,117.81"
9/20/2016,"1,094.18"
9/19/2016,"1,102.34"
9/16/2016,"1,102.28"
9/15/2016,"1,109.59"
9/14/2016,"1,094.06"
9/13/2016,"1,110.55"
9/12/2016,"1,143.41"
9/9/2016,"1,134.53"
9/8/2016,"1,169.34"
9/7/2016,"1,151.44"
9/6/2016,"1,150.58"
9/2/2016,"1,135.53"
9/1/2016,"1,119.48"
8/31/2016,"1,125.81"
8/30/2016,"1,145.31"
8/29/2016,"1,147.99"
8/26/2016,"1,141.76"
8/25/2016,"1,144.19"
8/24/2016,"1,143.68"
8/23/2016,"1,146.72"
8/22/2016,"1,138.49"
8/19/2016,"1,151.78"
8/18/2016,"1,161.21"
8/17/2016,"1,148.10"
8/16/2016,"1,146.28"
8/15/2016,"1,141.25"
8/12/2016,"1,137.01"
8/11/2016,"1,132.00"
8/10/2016,"1,112.68"
8/9/2016,"1,123.46"
8/8/2016,"1,128.18"
8/5/2016,"1,118.93"
8/4/2016,"1,104.92"
8/3/2016,"1,107.66"
8/2/2016,"1,087.18"
8/1/2016,"1,080.67"
7/29/2016,"1,116.01"
7/28/2016,"1,104.92"
7/27/2016,"1,107.48"
7/26/2016,"1,119.02"
7/25/2016,"1,106.09"
7/22/2016,"1,128.17"
7/21/2016,"1,129.21"
