Date,MSCI
3/12/2014,46.27
3/13/2014,45.27
3/14/2014,45.209999
3/17/2014,45.619999
3/18/2014,45.630001
3/19/2014,45.259998
3/20/2014,45.48
3/21/2014,45.32
3/24/2014,44.439999
3/25/2014,42.720001
3/26/2014,41.77
3/27/2014,41.869999
3/28/2014,42.110001
3/31/2014,43.02
4/1/2014,43.810001
4/2/2014,43.799999
4/3/2014,43.759998
4/4/2014,43.07
4/7/2014,42.279999
4/8/2014,42.639999
4/9/2014,43.099998
4/10/2014,42.07
4/11/2014,41.720001
4/14/2014,41.549999
4/15/2014,41.279999
4/16/2014,42.119999
4/17/2014,42.169998
4/21/2014,42.389999
4/22/2014,42.560001
4/23/2014,42.279999
4/24/2014,42.279999
4/25/2014,41.689999
4/28/2014,41.790001
4/29/2014,41.709999
4/30/2014,40.540001
5/1/2014,40.990002
5/2/2014,41.240002
5/5/2014,41.189999
5/6/2014,41.259998
5/7/2014,42.139999
5/8/2014,41.419998
5/9/2014,41.540001
5/12/2014,43.34
5/13/2014,42.700001
5/14/2014,42.169998
5/15/2014,42.130001
5/16/2014,42.279999
5/19/2014,42.560001
5/20/2014,41.380001
5/21/2014,42.060001
5/22/2014,42.560001
5/23/2014,42.950001
5/27/2014,43.41
5/28/2014,43.32
5/29/2014,43.48
5/30/2014,43.16
6/2/2014,43.34
6/3/2014,43.349998
6/4/2014,43.450001
6/5/2014,43.900002
6/6/2014,44.41
6/9/2014,44.82
6/10/2014,44.700001
6/11/2014,44.900002
6/12/2014,44.759998
6/13/2014,44.84
6/16/2014,44.77
6/17/2014,45.470001
6/18/2014,45.110001
6/19/2014,44.919998
6/20/2014,44.580002
6/23/2014,44.860001
6/24/2014,44.439999
6/25/2014,44.59
6/26/2014,44.459999
6/27/2014,45.200001
6/30/2014,45.849998
7/1/2014,46.549999
7/2/2014,46.52
7/3/2014,47.34
7/7/2014,47.080002
7/8/2014,46.470001
7/9/2014,46.32
7/10/2014,45.93
7/11/2014,46.09
7/14/2014,46.369999
7/15/2014,46.389999
7/16/2014,46.639999
7/17/2014,46.27
7/18/2014,46.93
7/21/2014,46.689999
7/22/2014,46.939999
7/23/2014,46.82
7/24/2014,47.110001
7/25/2014,46.799999
7/28/2014,46.73
7/29/2014,46.400002
7/30/2014,46.560001
7/31/2014,45.25
8/1/2014,44.360001
8/4/2014,44.549999
8/5/2014,43.990002
8/6/2014,44.150002
8/7/2014,43.900002
8/8/2014,44
8/11/2014,44.57
8/12/2014,44.599998
8/13/2014,44.919998
8/14/2014,45.119999
8/15/2014,45.169998
8/18/2014,45.68
8/19/2014,45.630001
8/20/2014,45.860001
8/21/2014,46.18
8/22/2014,46.209999
8/25/2014,46.279999
8/26/2014,46.740002
8/27/2014,46.139999
8/28/2014,45.869999
8/29/2014,46.139999
9/2/2014,46.580002
9/3/2014,46.43
9/4/2014,46.43
9/5/2014,46.349998
9/8/2014,46.290001
9/9/2014,46.200001
9/10/2014,46.650002
9/11/2014,46.790001
9/12/2014,46.700001
9/15/2014,46.400002
9/16/2014,46.540001
9/17/2014,46.290001
9/18/2014,48.98
9/19/2014,48.389999
9/22/2014,47.630001
9/23/2014,46.990002
9/24/2014,47.330002
9/25/2014,46.77
9/26/2014,46.970001
9/29/2014,46.990002
9/30/2014,47.02
10/1/2014,46.560001
10/2/2014,47.599998
10/3/2014,47.52
10/6/2014,46.990002
